Date;Rot;VH;Team;1st;2nd;3rd;4th;Final;Open;Close;ML;2H
101;530;H;Charlotte Hornets;19;28;20;26;93;2;4;-180;4.5
101;531;V;Atlanta Hawks;29;32;28;25;114;247;244.5;210;119.5
101;532;H;Brooklyn Nets;23;29;21;23;96;6;6;-250;5.5
101;533;V;Washington Wizards;37;23;40;30;130;232.5;1;-110;0.5
101;534;H;Minnesota Timberwolves;25;32;14;38;109;1;234.5;-110;114
101;535;V;Los Angeles Lakers;25;33;23;28;109;7;7.5;-340;5
101;536;H;San Antonio Spurs;31;26;28;18;103;230.5;229;280;112
101;537;V;Chicago Bulls;21;19;35;21;96;230;233;850;117.5
101;538;H;Milwaukee Bucks;27;35;34;30;126;14;14.5;-1500;3
101;539;V;Phoenix Suns;34;26;27;19;106;225;220.5;140;112
101;540;H;Denver Nuggets;32;17;29;25;103;4.5;3.5;-160;4.5
101;541;V;Los Angeles Clippers;19;23;23;35;100;2;3;-160;4
101;542;H;Utah Jazz;31;20;33;22;106;225.5;219.5;140;107
101;543;V;Portland Trail Blazers;36;31;31;25;123;4;3.5;-150;117.5
101;544;H;Golden State Warriors;21;34;25;18;98;230.5;237.5;130;1.5
102;545;V;Sacramento Kings;36;28;17;13;94;233;2;-130;2
102;546;H;Houston Rockets;36;28;19;19;102;4;229;110;113
102;547;V;Charlotte Hornets;24;34;32;22;112;213.5;217;400;106.5
102;548;H;Philadelphia 76ers;39;34;31;23;127;9.5;10;-500;1
102;549;V;Oklahoma City ThunderCity;28;24;32;24;108;218.5;216.5;155;106
102;550;H;Orlando Magic;33;18;31;17;99;7.5;4.5;-175;3.5
102;551;V;New York Knicks;26;24;32;24;106;215;215;375;105
102;552;H;Indiana Pacers;28;23;31;20;102;9;9.5;-450;6
102;553;V;Toronto Raptors;26;34;22;34;116;1;1;-115;106.5
102;554;H;New Orleans Pelicans;32;23;32;33;120;216;215.5;-105;0.5
102;555;V;Cleveland Cavaliers;25;19;26;26;96;234.5;229;200;0.5
102;556;H;Atlanta Hawks;35;21;18;17;91;6.5;5.5;-240;112
103;557;V;Boston Celtics;31;30;30;31;122;8;8;-360;3.5
103;558;H;Detroit Pistons;33;24;31;32;120;213.5;212;300;107
103;559;V;Washington Wizards;29;41;24;29;123;242.5;241.5;270;119
103;560;H;Brooklyn Nets;28;43;22;29;122;8.5;7.5;-330;4.5
103;561;V;Los Angeles Lakers;25;31;21;31;108;10.5;10;-500;6.5
103;562;H;Memphis Grizzlies;36;18;21;19;94;222.5;220;400;108
103;563;V;Utah Jazz;33;32;33;32;130;4;5.5;-220;113.5
103;564;H;San Antonio Spurs;23;28;25;33;109;219.5;222.5;190;1.5
103;565;V;Denver Nuggets;29;26;28;41;124;8.5;8.5;-360;2.5
103;566;H;Minnesota Timberwolves;28;20;36;25;109;231;226;300;111
103;567;V;Los Angeles Clippers;37;27;24;24;112;1.5;3.5;-150;105.5
103;568;H;Phoenix Suns;24;20;37;26;107;218;215.5;130;3.5
103;569;V;Dallas Mavericks;31;29;21;27;108;5.5;4;-170;2.5
103;570;H;Chicago Bulls;31;28;27;32;118;225;222;150;109.5
103;571;V;Portland Trail Blazers;33;21;29;39;122;4.5;4.5;-190;6
103;572;H;Golden State Warriors;36;30;31;40;137;234.5;235;170;114.5
104;573;V;Charlotte Hornets;20;23;23;35;101;218;221.5;290;107.5
104;574;H;Philadelphia 76ers;23;35;24;36;118;9.5;8;-350;0.5
104;575;V;Cleveland Cavaliers;19;30;18;16;83;217;214.5;190;105
104;576;H;Orlando Magic;26;25;38;14;103;5;6;-220;3.5
104;577;V;Oklahoma City ThunderCity;26;23;17;24;90;212.5;214.5;350;105.5
104;578;H;Miami Heat;26;37;28;27;118;8;9;-420;1
104;579;V;New York Knicks;31;23;30;29;113;223;224.5;250;110
104;580;H;Atlanta Hawks;29;29;30;20;108;6;7;-300;3
104;581;V;Boston Celtics;23;38;39;26;126;214;217;200;110.5
104;582;H;Toronto Raptors;32;14;35;33;114;2.5;6;-240;8
104;583;V;Dallas Mavericks;33;28;23;29;113;228;229.5;150;113.5
104;584;H;Houston Rockets;21;28;28;23;100;3;4;-170;5.5
104;585;V;Indiana Pacers;26;27;26;27;118;218;216;105;105.5
104;586;H;New Orleans Pelicans;24;27;26;29;116;pk;1.5;-125;1
104;587;V;Detroit Pistons;26;30;24;35;115;225;223.5;1100;108.5
104;588;H;Milwaukee Bucks;33;34;30;28;125;15;16;-2500;5.5
104;589;V;Sacramento Kings;20;28;27;31;106;2;1.5;-125;5.5
104;590;H;Golden State Warriors;37;31;32;37;137;232;235;105;115
105;501;V;Utah Jazz;14;30;29;23;96;231.5;4.5;-180;8
105;502;H;Brooklyn Nets;35;28;35;32;130;3;225;160;114.5
105;503;V;Los Angeles Lakers;19;26;22;27;94;9.5;9.5;-460;8
105;504;H;Memphis Grizzlies;24;25;19;24;92;218;219;380;106.5
105;505;V;Minnesota Timberwolves;22;43;31;20;116;228;226.5;475;112
105;506;H;Denver Nuggets;34;28;31;30;123;12;10.5;-650;8
105;507;V;San Antonio Spurs;36;27;22;31;116;227;226;260;115.5
105;508;H;Los Angeles Clippers;27;17;40;29;113;8;7;-310;8.5
105;509;V;Chicago Bulls;21;24;36;30;111;233.5;232.5;375;117.5
105;510;H;Portland Trail Blazers;39;15;31;23;108;10;9.5;-450;3
106;511;V;Houston Rockets;30;26;31;20;107;226;224;125;109.5
106;512;H;Indiana Pacers;35;27;28;24;114;1.5;3;-145;pk
106;513;V;Washington Wizards;24;43;39;30;136;231;235;220;1
106;514;H;Philadelphia 76ers;33;49;34;25;141;8;6.5;-260;115.5
106;515;V;Cleveland Cavaliers;23;22;19;30;94;213;214;180;103.5
106;516;H;Orlando Magic;15;36;32;22;105;6;5;-210;1
106;517;V;Boston Celtics;34;19;27;27;107;218;217.5;120;110
106;518;H;Miami Heat;26;19;35;25;105;3.5;2.5;-140;4
106;519;V;Charlotte Hornets;27;32;22;21;102;231;232.5;210;113
106;520;H;Atlanta Hawks;11;29;27;27;94;6.5;6;-250;7.5
106;521;V;Utah Jazz;27;29;19;25;100;6;8;-310;0.5
106;522;H;New York Knicks;20;24;34;34;112;215;214.5;260;109
106;523;V;Oklahoma City ThunderCity;26;28;34;23;111;213;213.5;270;105.5
106;524;H;New Orleans Pelicans;34;25;19;32;110;8;8;-330;3
106;525;V;Detroit Pistons;33;23;26;33;115;227;226.5;650;0.5
106;526;H;Milwaukee Bucks;44;38;26;22;130;13.5;11.5;-1000;111
106;527;V;Toronto Raptors;25;29;33;28;115;217;219;130;107
106;528;H;Phoenix Suns;22;36;38;27;123;1.5;3;-150;0.5
106;529;V;Chicago Bulls;25;34;34;31;124;232;228.5;250;115.5
106;530;H;Sacramento Kings;28;34;31;35;128;6;6.5;-300;2
106;531;V;Los Angeles Clippers;21;31;31;25;108;4;5;-210;3.5
106;532;H;Golden State Warriors;15;36;26;24;101;234;231;180;113
107;533;V;Philadelphia 76ers;26;25;33;25;109;3;4;-180;7
107;534;H;Brooklyn Nets;28;37;29;28;122;224;222.5;160;109
107;535;V;Cleveland Cavaliers;19;27;21;27;94;214;209;200;102
107;536;H;Memphis Grizzlies;24;21;24;21;90;3.5;6;-240;4
107;537;V;Minnesota Timberwolves;29;27;24;37;117;233.5;233;400;114
107;538;H;Portland Trail Blazers;28;47;36;24;135;10;10;-500;pk
107;539;V;Dallas Mavericks;22;21;33;33;124;226;222.5;125;2
107;540;H;Denver Nuggets;28;24;26;31;117;2.5;2.5;-145;111.5
107;541;V;San Antonio Spurs;34;31;26;27;118;225;226.5;330;116
107;542;H;Los Angeles Lakers;26;30;33;20;109;7.5;8.5;-400;9
108;543;V;Phoenix Suns;29;27;20;17;105;6;8;-330;2
108;544;H;Detroit Pistons;20;28;24;21;110;218.5;216;270;109.5
108;545;V;Charlotte Hornets;22;25;35;36;118;216;218;230;107
108;546;H;New Orleans Pelicans;38;21;28;23;110;8.5;7.5;-270;0.5
108;547;V;Washington Wizards;28;19;34;26;107;234.5;237.5;155;3
108;548;H;Boston Celtics;33;33;30;20;116;5.5;3.5;-175;115.5
108;549;V;Oklahoma City ThunderCity;15;27;27;32;101;209.5;212;130;103.5
108;550;H;New York Knicks;24;18;21;26;89;3.5;3;-150;2
108;551;V;Utah Jazz;34;31;39;27;131;236;232.5;200;119
108;552;H;Milwaukee Bucks;31;27;38;22;118;8;6;-240;5
108;553;V;Orlando Magic;17;16;24;33;90;229;222;240;3
108;554;H;Houston Rockets;32;30;31;39;132;4.5;7;-280;113.5
108;555;V;Brooklyn Nets;28;19;39;24;110;4.5;217.5;-110;4
108;556;H;Memphis Grizzlies;40;22;30;23;115;222;pk;-110;106
108;557;V;Toronto Raptors;35;36;40;33;144;5;1;-120;1
108;558;H;Sacramento Kings;43;31;29;20;123;226.5;227.5;100;112.5
108;559;V;Los Angeles Clippers;30;35;22;18;105;4;6.5;-250;112.5
108;560;H;Golden State Warriors;22;29;30;34;115;232;229.5;210;1
108;561;V;Chicago Bulls;33;25;30;27;115;229.5;221.5;350;112
108;562;H;Los Angeles Lakers;28;31;33;25;117;10;8.5;-420;5
109;563;V;Denver Nuggets;28;30;35;22;115;4;13.5;-1100;8
109;564;H;Philadelphia 76ers;26;25;21;31;103;222;215;700;105
109;565;V;Miami Heat;47;28;28;25;128;5.5;10.5;-700;6
109;566;H;Washington Wizards;44;27;15;38;124;229.5;226.5;500;113
109;567;V;Atlanta Hawks;29;21;26;29;105;4.5;5;-200;5
109;568;H;Charlotte Hornets;28;31;28;26;113;228;229;175;112.5
109;569;V;Phoenix Suns;30;26;34;35;125;217;217;130;110.5
109;570;H;Indiana Pacers;32;21;34;30;117;3;3;-150;1.5
109;571;V;San Antonio Spurs;28;32;23;30;125;6;3.5;-160;2
109;572;H;Minnesota Timberwolves;34;24;27;28;122;230;235;140;119
109;573;V;Cleveland Cavaliers;14;23;26;27;90;222.5;219;350;105
109;574;H;Milwaukee Bucks;27;20;31;22;100;12;8.5;-420;1.5
109;575;V;Orlando Magic;27;23;25;23;98;217;218;220;110.5
109;576;H;Dallas Mavericks;36;20;29;27;112;7;6.5;-260;2
109;577;V;Portland Trail Blazers;38;28;27;32;125;5;5.5;-210;114.5
109;578;H;Sacramento Kings;24;25;20;30;99;234.5;236;180;2
110;501;V;Utah Jazz;34;23;17;22;96;7;8.5;-400;0.505
110;502;H;Detroit Pistons;19;21;28;18;86;217;217.5;330;110
110;503;V;Chicago Bulls;31;28;35;33;127;225.5;221;650;113
110;504;H;Los Angeles Clippers;22;30;42;36;130;12;12;-1000;10.5
110;505;V;Oklahoma City ThunderCity;29;28;37;35;129;222.5;225;290;110
110;506;H;Brooklyn Nets;41;22;18;35;116;9.5;8;-350;2.5
110;507;V;Denver Nuggets;28;31;23;32;114;5.5;5.5;-220;103.5
110;508;H;New York Knicks;21;17;26;25;89;218;213.5;190;2.5
110;511;V;Los Angeles Lakers;25;40;23;32;120;3;4;-180;109.5
110;512;H;Houston Rockets;21;25;29;27;102;226.5;223.5;160;3.5
110;513;V;San Antonio Spurs;22;27;20;19;88;3;4.5;-185;1.5
110;514;H;Minnesota Timberwolves;25;19;22;30;96;234;229.5;165;114.5
110;515;V;Toronto Raptors;24;27;21;33;105;3;3;-150;3.5
110;516;H;Golden State Warriors;31;30;26;19;106;230.5;233.5;130;114.5
111;517;V;Memphis Grizzlies;24;23;30;24;101;217.5;2;-135;2.5
111;518;H;Cleveland Cavaliers;27;19;25;20;91;2;207;115;105
111;519;V;Phoenix Suns;15;27;36;29;107;6.5;6;-250;8.5
111;520;H;Washington Wizards;29;39;36;24;128;228.5;231.5;210;116.5
111;521;V;Milwaukee Bucks;25;38;23;35;121;9;10;-500;3
111;522;H;Orlando Magic;23;31;28;17;99;224.5;226;400;116
111;523;V;New York Knicks;25;25;18;20;88;212;212.5;170;104.5
111;524;H;Charlotte Hornets;31;26;25;27;109;4.5;5;-190;0.5
111;525;V;Philadelphia 76ers;32;18;15;29;94;223.5;222.5;200;1.5
111;526;H;Atlanta Hawks;28;37;32;15;112;6.5;6;-240;109
111;529;V;Toronto Raptors;32;28;26;25;111;233.5;230.5;175;114
111;530;H;Portland Trail Blazers;21;34;21;36;112;3.5;4.5;-200;3.5
111;531;V;Indiana Pacers;30;34;29;29;122;2;3.5;-170;3
111;532;H;Sacramento Kings;30;35;32;30;127;233;229;150;113
112;533;V;Miami Heat;25;38;32;25;134;207;213;320;105
112;534;H;Philadelphia 76ers;28;27;41;24;137;4;8.5;-380;9
112;535;V;Utah Jazz;22;27;38;30;117;9.5;12.5;-1000;3
112;536;H;Cleveland Cavaliers;18;18;23;28;87;206.5;208.5;650;105.5
112;537;V;Denver Nuggets;35;35;20;26;116;232;230.5;110;112.5
112;538;H;Brooklyn Nets;27;27;36;32;122;pk;1.5;-130;6
112;539;V;San Antonio Spurs;26;25;29;32;112;2.5;2;-135;112
112;540;H;Oklahoma City ThunderCity;26;17;30;29;102;215.5;218.5;115;1.5
112;541;V;Los Angeles Lakers;35;36;26;20;117;3.5;5;-170;108.5
112;542;H;Houston Rockets;14;34;23;29;100;223;224;150;3.5
112;545;V;Indiana Pacers;19;31;23;31;104;1.5;227;135;1
112;546;H;Golden State Warriors;28;29;18;20;95;229;3.5;-155;112
113;547;V;Milwaukee Bucks;27;31;31;21;110;11.5;10.5;-600;2.5
113;548;H;Detroit Pistons;13;34;28;26;101;227.5;225.5;450;114.5
113;549;V;Dallas Mavericks;32;28;27;17;104;5.5;3;-150;112
113;550;H;Charlotte Hornets;16;27;29;21;93;219;220.5;130;3.5
113;555;V;Brooklyn Nets;26;35;31;24;116;5;3;-145;104.5
113;556;H;New York Knicks;25;20;31;33;109;219;217;125;3
113;557;V;Los Angeles Lakers;30;28;35;35;128;8.5;10.5;-600;3
113;558;H;Oklahoma City ThunderCity;21;25;25;28;99;215;219.5;450;106.5
113;559;V;Memphis Grizzlies;27;29;24;38;118;220;223;125;113.5
113;560;H;Minnesota Timberwolves;29;29;32;17;107;1;2;-145;0.5
113;563;V;Portland Trail Blazers;33;32;35;32;132;6;5;-200;5
113;564;H;Sacramento Kings;43;25;37;21;126;235.5;237.5;175;116
113;565;V;New Orleans Pelicans;28;15;28;35;106;220;216;475;105.5
113;566;H;Los Angeles Clippers;28;33;22;28;111;7;11;-650;1
114;567;V;Miami Heat;30;28;20;30;108;221;222;300;0.5
114;568;H;Philadelphia 76ers;38;35;25;27;125;11;7;-360;108.5
114;569;V;Charlotte Hornets;34;28;24;22;108;221.5;217.5;425;108.5
114;570;H;Toronto Raptors;35;36;28;12;111;7;10.5;-550;3.5
114;571;V;Houston Rockets;30;18;27;34;109;223;219.5;250;106.5
114;572;H;San Antonio Spurs;27;18;34;26;105;6.5;7;-300;7
114;573;V;Golden State Warriors;24;30;22;28;104;229;225.5;170;2
114;574;H;Denver Nuggets;37;28;25;24;114;5;4.5;-190;111.5
114;575;V;Indiana Pacers;26;33;25;27;111;229.5;228;120;110.5
114;576;H;Portland Trail Blazers;26;10;35;16;87;1.5;3;-140;7
115;503;V;New York Knicks;25;30;25;23;103;2.5;2;-140;2
115;504;H;Cleveland Cavaliers;28;29;23;26;106;200.5;195.5;120;96
115;505;V;Orlando Magic;28;20;24;25;97;215.5;213.5;160;2
115;506;H;Boston Celtics;34;26;28;36;124;3.5;4;-180;108.5
115;507;V;Dallas Mavericks;23;24;34;28;109;230.5;230;260;117
115;508;H;Milwaukee Bucks;30;25;29;28;112;6;8;-310;1.5
115;509;V;Chicago Bulls;30;38;27;23;125;224.5;2;-130;115.5
115;510;H;Oklahoma City ThunderCity;22;28;37;31;127;pk;225;110;4
115;515;V;Atlanta Hawks;23;23;28;18;92;222.5;229;200;1
115;516;H;Utah Jazz;33;28;26;29;116;6;6.5;-240;112
115;517;V;New Orleans Pelicans;28;30;16;21;95;218.5;218.5;350;108
115;518;H;Los Angeles Lakers;20;37;27;28;112;9;8.5;-420;6.5
115;519;V;Los Angeles Clippers;34;35;37;32;138;6.5;6.5;-300;1
115;520;H;Sacramento Kings;31;30;16;23;100;230;227.5;250;111
116;521;V;Houston Rockets;30;23;19;19;91;219.5;217;260;107
116;522;H;San Antonio Spurs;21;29;25;28;103;6.5;7;-310;6.5
116;523;V;Orlando Magic;26;24;33;32;115;225;226;375;115.5
116;524;H;Brooklyn Nets;29;23;32;38;122;9.5;9;-450;5
116;525;V;Charlotte Hornets;27;37;23;26;113;219.5;221.5;230;109
116;526;H;Toronto Raptors;31;35;22;28;116;7.5;6.5;-270;3.5
116;527;V;Philadelphia 76ers;26;28;22;28;104;2.5;222.5;110;1
116;528;H;Memphis Grizzlies;25;35;28;18;106;219;2;-130;108.5
116;529;V;Detroit Pistons;29;23;38;30;120;218;217.5;195;106
116;530;H;Miami Heat;23;33;19;25;100;2;5.5;-230;2
116;533;V;Atlanta Hawks;38;28;20;20;106;235.5;234;170;114.5
116;534;H;Portland Trail Blazers;34;25;27;26;112;4;5;-190;5
117;535;V;New York Knicks;28;20;27;30;105;211;209.5;260;103
117;536;H;Boston Celtics;17;18;15;25;75;6.5;7;-310;7.5
